frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
423,0,1,0.035,1.000,-0.0437
424,0,1,0.028,1.000,-0.0424
425,0,1,0.023,1.000,-0.0466
426,0,1,0.018,1.000,-0.0500
427,0,1,0.014,1.000,-0.0453
428,0,1,0.012,1.000,-0.0458
429,0,1,0.009,1.000,-0.0494
430,0,1,0.007,1.000,-0.0469
431,0,1,0.006,1.000,-0.0449
432,0,1,0.005,1.000,-0.0455
433,0,1,0.004,1.000,-0.0459
434,0,1,0.003,1.000,-0.0484
435,0,1,0.002,1.000,-0.0493
436,0,1,0.002,1.000,-0.0501
437,0,1,0.002,1.000,-0.0517
438,0,1,0.001,1.000,-0.0530
439,0,1,0.001,1.000,-0.0509
440,0,1,0.001,1.000,-0.0534
441,0,1,0.001,1.000,-0.0544
442,0,1,0.001,1.000,-0.0552
443,0,1,0.000,1.000,-0.0558
444,0,1,0.160,1.000,-0.0791
445,0,1,0.288,1.000,-0.0977
446,0,1,0.231,1.000,-0.0951
447,0,1,0.184,1.000,-0.0931
448,0,1,0.148,1.000,-0.0893
449,0,1,0.118,1.000,-0.0873
450,0,1,0.094,1.000,-0.0837
451,0,1,0.076,1.000,-0.0818
452,0,1,0.060,1.000,-0.0845
453,0,1,0.048,1.000,-0.0824
454,0,1,0.039,1.000,-0.0808
455,0,1,0.031,1.000,-0.0826
456,0,1,0.025,1.000,-0.0841
457,0,1,0.020,1.000,-0.0800
458,0,1,0.016,1.000,-0.0810
459,0,1,0.013,1.000,-0.0817
460,0,1,0.010,1.000,-0.0792
461,0,1,0.008,1.000,-0.0771
462,0,1,0.006,1.000,-0.0702
463,0,1,0.005,1.000,-0.0646
464,0,1,0.004,1.000,-0.0602
465,0,1,0.003,1.000,-0.0566
466,0,1,0.003,1.000,-0.0623
467,0,1,0.002,1.000,-0.0572
468,0,1,0.002,1.000,-0.0617
469,0,1,0.001,1.000,-0.0599
470,0,1,0.001,1.000,-0.0586
471,0,1,0.001,1.000,-0.0564
472,0,1,0.001,1.000,-0.0546
473,0,1,0.131,1.000,-0.0782
474,0,1,0.234,1.000,-0.0986
475,0,1,0.318,1.000,-0.1128
476,0,1,0.384,1.000,-0.1263
477,0,1,0.437,1.000,-0.1371
478,0,1,0.480,1.000,-0.1467
479,0,1,0.514,1.000,-0.1545
480,0,1,0.541,1.000,-0.1570
481,0,1,0.563,1.000,-0.1606
482,0,1,0.580,1.000,-0.1634
483,0,1,0.464,1.000,-0.1392
484,0,1,0.371,1.000,-0.1199
485,0,1,0.297,1.000,-0.1097
486,0,1,0.238,1.000,-0.1015
487,0,1,0.190,1.000,-0.0897
488,0,1,0.152,1.000,-0.0802
489,0,1,0.122,1.000,-0.0684
490,0,1,0.097,1.000,-0.0664
491,0,1,0.078,1.000,-0.0595
492,0,1,0.062,1.000,-0.0486
493,0,1,0.050,1.000,-0.0400
494,0,1,0.040,1.000,-0.0352
495,0,1,0.032,1.000,-0.0366
496,0,1,0.026,1.000,-0.0346
497,0,1,0.020,1.000,-0.0330
498,0,1,0.016,1.000,-0.0327
499,0,1,0.013,1.000,-0.0294
500,0,1,0.010,1.000,-0.0256
501,0,1,0.008,1.000,-0.0343
502,0,1,0.007,1.000,-0.0412
503,0,1,0.005,1.000,-0.0478
504,0,1,0.004,1.000,-0.0446
505,0,1,0.003,1.000,-0.0484
506,0,1,0.003,1.000,-0.0472
507,0,1,0.002,1.000,-0.0462
508,0,1,0.002,1.000,-0.0476
509,0,1,0.001,1.000,-0.0561
510,0,1,0.131,1.000,-0.0804
511,0,1,0.235,1.000,-0.0998
512,0,1,0.188,1.000,-0.0841
513,0,1,0.150,1.000,-0.0715
514,0,1,0.120,1.000,-0.0615
515,0,1,0.096,1.000,-0.0587
516,0,1,0.077,1.000,-0.0565
517,0,1,0.062,1.000,-0.0558
518,0,1,0.049,1.000,-0.0542
519,0,1,0.039,1.000,-0.0561
520,0,1,0.032,1.000,-0.0576
521,0,1,0.025,1.000,-0.0588
522,0,1,0.020,1.000,-0.0597
523,0,1,0.016,1.000,-0.0605
524,0,1,0.013,1.000,-0.0611
525,0,1,0.010,1.000,-0.0616
526,0,1,0.008,1.000,-0.0557
527,0,1,0.007,1.000,-0.0519
528,0,1,0.005,1.000,-0.0490
529,0,1,0.004,1.000,-0.0572
530,0,1,0.003,1.000,-0.0638
531,0,1,0.003,1.000,-0.0616
532,0,1,0.002,1.000,-0.0599
533,0,1,0.002,1.000,-0.0638
534,0,1,0.001,1.000,-0.0670
535,0,1,0.001,1.000,-0.0673
536,0,1,0.001,1.000,-0.0634
537,0,1,0.001,1.000,-0.0603
538,0,1,0.001,1.000,-0.0567
539,0,1,0.000,1.000,-0.0538
540,0,1,0.000,1.000,-0.0537
541,0,1,0.000,1.000,-0.0578
542,0,1,0.000,1.000,-0.0536
543,0,1,0.130,1.000,-0.0779
544,0,1,0.234,1.000,-0.0973
545,0,1,0.317,1.000,-0.1070
546,0,1,0.384,1.000,-0.1147
547,0,1,0.437,1.000,-0.1209
548,0,1,0.480,1.000,-0.1248
549,0,1,0.384,1.000,-0.1147
550,0,1,0.307,1.000,-0.0992
551,0,1,0.246,1.000,-0.0868
552,0,1,0.196,1.000,-0.0768
553,0,1,0.157,1.000,-0.0689
554,0,1,0.126,1.000,-0.0647
555,0,1,0.101,1.000,-0.0613
556,0,1,0.080,1.000,-0.0596
557,0,1,0.064,1.000,-0.0583
558,0,1,0.052,1.000,-0.0551
559,0,1,0.041,1.000,-0.0536
560,0,1,0.033,1.000,-0.0524
561,0,1,0.026,1.000,-0.0536
562,0,1,0.021,1.000,-0.0514
563,0,1,0.017,1.000,-0.0517
564,0,1,0.014,1.000,-0.0520
565,0,1,0.011,1.000,-0.0458
